Zeit [abs];T_AUL [°C];T_ABL [°C];T_ZUL_Mitte [°C];T_ZUL_L [°C];T_ZUL_O [°C];T_ZUL_U [°C];T_ZUL_R [°C];T_FOL_Mitte [°C];T_FOL_OL [°C];T_FOL_OR [°C];T_FOL_UL [°C];T_FOL_R [°C];T_ZUL_PHI [°C];T_FOL_PHI [°C];5V [V];PHI_AUL [V];PHI_ZUL [V];PHI_ABL [V];PHI_FOL [V]
30.06.2016, 16:07:21,738;16.080;21.250;19.770;19.550;19.750;19.790;18.820;17.340;18.190;17.640;17.660;16.510;19.640;17.660;4.965;2.352;2.056;2.718;1.930
30.06.2016, 16:07:22,738;16.090;21.250;19.780;19.550;19.750;19.790;18.810;17.340;18.200;17.660;17.670;16.500;19.660;17.670;4.965;2.354;2.050;4.396;1.937
30.06.2016, 16:07:23,738;16.100;21.250;19.780;19.550;19.770;19.790;18.820;17.340;18.210;17.660;17.680;16.510;19.650;17.660;4.965;2.354;2.051;2.796;1.929
30.06.2016, 16:07:24,738;16.100;21.220;19.780;19.550;19.770;19.780;18.810;17.330;18.210;17.680;17.680;16.490;19.650;17.670;4.965;2.352;2.050;2.722;1.933
30.06.2016, 16:07:25,738;16.100;21.240;19.780;19.540;19.750;19.790;18.810;17.330;18.210;17.670;17.670;16.500;19.640;17.660;4.965;2.353;2.054;4.481;1.928
30.06.2016, 16:07:26,738;16.090;21.230;19.780;19.540;19.770;19.780;18.820;17.330;18.200;17.670;17.680;16.500;19.630;17.650;4.965;2.352;2.048;2.731;1.931
30.06.2016, 16:07:27,739;16.090;21.240;19.770;19.540;19.750;19.790;18.810;17.320;18.210;17.670;17.680;16.500;19.650;17.670;4.965;2.357;2.050;4.308;1.930
30.06.2016, 16:07:32,738;16.080;21.240;19.770;19.540;19.750;19.780;18.820;17.330;18.200;17.670;17.690;16.500;19.640;17.680;4.965;2.355;2.052;2.725;1.929
30.06.2016, 16:07:37,738;16.080;21.230;19.760;19.530;19.760;19.780;18.820;17.340;18.220;17.660;17.680;16.490;19.650;17.660;4.965;2.359;2.055;2.722;1.935
30.06.2016, 16:07:42,738;16.080;21.240;19.770;19.530;19.750;19.780;18.830;17.340;18.210;17.670;17.680;16.490;19.640;17.670;4.965;2.353;2.051;2.796;1.931
30.06.2016, 16:07:47,738;16.070;21.220;19.760;19.540;19.750;19.780;18.830;17.340;18.210;17.670;17.670;16.490;19.650;17.660;4.965;2.353;2.046;2.727;1.933
30.06.2016, 16:07:52,738;16.060;21.240;19.770;19.540;19.750;19.790;18.820;17.340;18.210;17.670;17.670;16.480;19.630;17.660;4.965;2.353;2.058;2.713;1.928
30.06.2016, 16:07:57,738;16.080;21.240;19.760;19.540;19.750;19.780;18.820;17.340;18.200;17.660;17.690;16.490;19.630;17.660;4.965;2.353;2.053;4.412;1.936
30.06.2016, 16:08:02,739;16.060;21.240;19.770;19.540;19.760;19.770;18.820;17.330;18.200;17.670;17.670;16.490;19.640;17.660;4.965;2.353;2.055;4.445;1.925
