Zeit [abs];T_AUL [°C];T_ABL [°C];T_ZUL_Mitte [°C];T_ZUL_OL [°C];T_ZUL_OR [°C];T_ZUL_UL [°C];T_ZUL_UR [°C];T_FOL_Mitte [°C];T_FOL_OL [°C];T_FOL_OR [°C];T_FOL_UL [°C];T_FOL_UR [°C];T_ZUL_PHI [°C];T_FOL_PHI [°C];5V [V];PHI_AUL [V];PHI_ZUL [V];PHI_ABL [V];PHI_FOL [V]
27.06.2016, 10:41:03,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.703;2.683;2.7;2.696
27.06.2016, 10:41:04,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.707;2.684;2.702;2.696
27.06.2016, 10:41:05,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.712;2.682;2.703;2.695
27.06.2016, 10:41:06,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.706;2.686;2.704;2.693
27.06.2016, 10:41:07,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.707;2.687;2.703;2.697
27.06.2016, 10:41:08,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.707;2.682;2.703;2.701
27.06.2016, 10:41:09,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.704;2.685;2.703;2.698
27.06.2016, 10:41:10,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.709;2.684;2.704;2.699
27.06.2016, 10:41:11,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.704;2.685;2.705;2.698
27.06.2016, 10:41:12,937;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.707;2.688;2.703;2.696
27.06.2016, 10:41:13,937;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.7;2.686;2.701;2.698
27.06.2016, 10:41:14,937;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.701;2.685;2.702;2.696
27.06.2016, 10:41:15,936;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.969;2.703;2.687;2.704;2.695
